               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.018873,             0.03389,                   0,             0.76225,             0.63566,             0.68883,             0.41337,            0.042751,             0.13862,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.019742,            0.038128,                   0,              0.7759,             0.62964,             0.69199,             0.41407,            0.042624,             0.13541,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.019845,            0.038077,                   0,             0.78442,             0.62336,             0.69203,             0.41498,            0.042326,             0.13343,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.021466,            0.045026,                   0,             0.77237,             0.63523,              0.6942,             0.41489,            0.041917,             0.12604,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.021128,            0.044291,                   0,             0.79159,             0.62387,             0.69636,             0.41761,            0.041733,             0.12278,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.021626,            0.046323,                   0,             0.77865,             0.63311,             0.69791,             0.41719,            0.041643,             0.11946,                   0,            0.002278,            0.002278,            0.002278
                 119,             0.02149,            0.046467,                   0,             0.76482,             0.64165,             0.69725,             0.41793,            0.041525,             0.11832,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.021244,            0.045967,                   0,             0.76037,             0.64623,             0.69492,             0.41782,            0.041422,             0.11749,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.021272,            0.045388,                   0,             0.75843,             0.64889,             0.69792,             0.41805,            0.041411,             0.11728,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.022613,            0.050891,                   0,             0.77577,             0.64216,             0.69943,             0.41769,            0.041236,             0.11382,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.023155,            0.053511,                   0,             0.77457,             0.64504,             0.70154,             0.41871,            0.040922,             0.10979,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.022893,            0.053191,                   0,             0.77513,             0.64296,              0.7024,              0.4198,            0.040701,             0.10715,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.023098,            0.054834,                   0,             0.77824,             0.64389,             0.70747,             0.42267,            0.040449,             0.10466,                   0,            0.001816,            0.001816,            0.001816
