                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                 1.0568,                0.61165,                 1.0033,                0.83453,                0.73049,                0.81051,                0.52469,                 1.1894,                0.86902,                 1.0374,               0.002872,               0.002872,               0.002872
                    110,                 1.0509,                0.60556,                 1.0015,                0.84041,                0.72613,                 0.8105,                0.52532,                  1.188,                0.90199,                 1.0368,               0.002806,               0.002806,               0.002806
                    111,                  1.041,                0.60296,                0.99941,                0.83883,                 0.7264,                 0.8104,                0.52535,                 1.1859,                0.92798,                 1.0359,                0.00274,                0.00274,                0.00274
                    112,                 1.0495,                0.60402,                 1.0006,                0.84001,                0.72527,                0.81061,                0.52585,                 1.1828,                0.93392,                 1.0346,               0.002674,               0.002674,               0.002674
                    113,                 1.0474,                0.60317,                0.99873,                0.83692,                0.72996,                0.81103,                0.52603,                 1.1828,                0.92459,                 1.0353,               0.002608,               0.002608,               0.002608
                    114,                  1.044,                0.60256,                 1.0008,                0.83191,                0.73443,                0.80997,                0.52623,                 1.1837,                0.88443,                 1.0355,               0.002542,               0.002542,               0.002542
                    115,                  1.035,                0.59781,                0.99809,                0.83513,                0.73028,                0.80913,                0.52711,                 1.1836,                0.86344,                 1.0352,               0.002476,               0.002476,               0.002476
                    116,                 1.0422,                0.59817,                0.99478,                0.83775,                0.72889,                0.81008,                0.52699,                 1.1833,                 0.8626,                 1.0355,                0.00241,                0.00241,                0.00241
                    117,                  1.041,                0.59953,                0.99832,                0.84051,                0.72711,                0.80974,                0.52705,                 1.1839,                0.83899,                 1.0359,               0.002344,               0.002344,               0.002344
                    118,                 1.0325,                0.59639,                0.99532,                0.84033,                0.72952,                0.81076,                 0.5275,                 1.1817,                 0.8181,                 1.0355,               0.002278,               0.002278,               0.002278
                    119,                 1.0267,                0.59406,                0.99469,                0.83942,                 0.7298,                0.81108,                0.52801,                 1.1801,                0.81882,                 1.0345,               0.002212,               0.002212,               0.002212
                    120,                 1.0266,                0.59017,                0.99094,                 0.8356,                0.73523,                0.81168,                0.52832,                 1.1782,                0.83556,                 1.0341,               0.002146,               0.002146,               0.002146
                    121,                 1.0192,                0.58856,                0.99119,                0.83493,                0.73651,                 0.8122,                0.52865,                 1.1787,                0.83551,                 1.0343,                0.00208,                0.00208,                0.00208
                    122,                 1.0192,                0.58838,                0.99095,                 0.8369,                0.73501,                0.81211,                0.52842,                 1.1793,                0.81106,                 1.0352,               0.002014,               0.002014,               0.002014
                    123,                 1.0212,                0.58836,                0.99002,                0.83633,                0.73358,                0.81204,                0.52866,                 1.1789,                0.79324,                  1.035,               0.001948,               0.001948,               0.001948
                    124,                 1.0171,                0.58422,                0.99115,                0.83342,                0.73584,                 0.8118,                0.52887,                 1.1795,                0.77934,                 1.0357,               0.001882,               0.001882,               0.001882
                    125,                 1.0133,                 0.5786,                0.98473,                0.83004,                0.73954,                 0.8113,                0.52824,                 1.1792,                0.77872,                 1.0356,               0.001816,               0.001816,               0.001816
                    126,                 1.0087,                0.57953,                0.98543,                 0.8355,                0.73323,                0.81084,                0.52827,                 1.1788,                0.78258,                 1.0353,                0.00175,                0.00175,                0.00175
                    127,                 1.0033,                0.57662,                0.98408,                0.83082,                0.73555,                0.81064,                 0.5283,                 1.1781,                0.78906,                 1.0354,               0.001684,               0.001684,               0.001684
                    128,                 1.0048,                0.57624,                0.98513,                 0.8305,                0.73863,                0.81111,                0.52837,                 1.1773,                0.79441,                 1.0349,               0.001618,               0.001618,               0.001618
                    129,                 0.9973,                0.57283,                0.98141,                0.83077,                0.73794,                0.81121,                0.52848,                 1.1768,                0.79921,                 1.0356,               0.001552,               0.001552,               0.001552
                    130,                0.99974,                0.57249,                0.98252,                0.83347,                0.73603,                 0.8105,                0.52818,                 1.1756,                0.79591,                 1.0351,               0.001486,               0.001486,               0.001486
                    131,                0.99197,                0.56718,                0.97831,                 0.8333,                0.73601,                0.81056,                0.52848,                 1.1753,                0.79363,                 1.0353,                0.00142,                0.00142,                0.00142
